ip,threat_score,severity,reason
222.166.160.184,5,Very Low,Low confidence / background noise
63.13.186.196,5,Very Low,Low confidence / background noise
147.31.138.75,5,Very Low,Low confidence / background noise
207.203.80.15,5,Very Low,Low confidence / background noise
218.76.139.20,5,Very Low,Low confidence / background noise
24.147.151.74,5,Very Low,Low confidence / background noise
211.141.93.88,5,Very Low,Low confidence / background noise
216.127.124.16,5,Very Low,Low confidence / background noise
208.51.151.210,5,Very Low,Low confidence / background noise
65.68.235.27,5,Very Low,Low confidence / background noise
4.245.93.87,5,Very Low,Low confidence / background noise
67.154.58.130,5,Very Low,Low confidence / background noise
24.83.37.136,5,Very Low,Low confidence / background noise
58.225.62.140,5,Very Low,Low confidence / background noise
61.138.216.82,5,Very Low,Low confidence / background noise
218.39.132.175,5,Very Low,Low confidence / background noise
125.30.38.52,5,Very Low,Low confidence / background noise
61.37.222.240,5,Very Low,Low confidence / background noise
218.62.18.218,5,Very Low,Low confidence / background noise
211.62.201.48,5,Very Low,Low confidence / background noise
